i,y,d1,d2,d3,d4,d5,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,x1,x2,x3,x4,x5,x6,x7,x8,x9
211,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.200,1,.39,7,7,4,43
212,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.500,1,1.79,1,4,3,34
219,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0.500,2,3.29,1,24,5,6
221,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1.000,2,.69,3,1,4,36
222,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0.845,1,1.64,1,8,5,16
223,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.225,1,1.19,8,6,4,22
224,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.100,1,2.49,1,6,4,23
226,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0.400,1,3.99,3,2,3,33
228,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.500,1,2.15,1,4,5,34
231,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.500,1,1.25,1,4,3,11
232,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.600,1,4.99,4,2,5,33
233,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0.420,1,.65,1,8,4,2
235,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.750,1,2.29,8,6,4,22
239,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.500,1,1.79,7,4,5,34
240,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1.000,1,2.99,4,24,5,52
241,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.200,1,1.09,7,7,3,37
246,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,0.250,1,2.59,3,24,4,6
248,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,1.000,1,1.98,8,11,6,2
251,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.200,1,2.09,4,2,5,49
252,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,3,0.845,1,1.69,7,8,3,16
254,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.700,1,1.79,8,17,4,
256,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.500,1,1.36,1,4,3,37
265,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,0.800,1,1.31,4,7,3,21
266,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3,0.450,1,3.69,4,24,9,44
271,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0.400,1,1.94,1,10,6,9
272,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0.420,1,.65,1,8,4,2
276,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0.800,1,13.99,3,12,3,42
279,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.200,1,1.05,8,2,4,2
282,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1.000,2,1.1,6,1,6,50
284,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.225,1,2.49,1,6,4,2
285,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.325,1,2.99,4,2,5,33
287,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1.000,2,.48,13,1,4,18
288,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.525,1,3.19,1,8,3,9
289,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0.400,1,6.99,3,12,5,30
290,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0.500,1,1.59,15,4,3,10
292,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,0.560,1,1.49,5,9,4,24
295,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0.750,1,1.29,9,21,2,18
296,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0.200,1,1.79,8,2,4,1
298,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.225,1,1.59,16,6,2,7
300,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0.225,1,.69,16,6,5,18
301,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0.280,1,.47,1,16,6,2
302,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,0.600,1,8.49,2,12,6,42
306,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0.400,1,6.99,1,12,3,30
307,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,0.800,1,1.19,7,7,5,43
308,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.270,1,1.59,16,6,3,7
310,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.500,1,1.25,1,4,3,11
311,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0.360,1,4.69,3,12,7,42
313,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0.250,1,1.79,13,24,2,44
315,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0.450,1,2.79,1,8,6,51
316,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0.375,1,3.19,15,8,3,9
318,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.700,1,6.49,8,2,4,27
320,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.570,1,3.29,1,6,3,20
323,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1.000,1,17.48,3,12,6,30
324,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1.000,2,.89,13,1,6,18
325,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,3,0.385,1,4.78,7,13,5,8
327,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0.800,1,3.19,1,25,2,24
329,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.500,1,1.09,15,4,2,34
331,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0.410,1,1.09,7,8,5,16
333,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,0.390,1,.95,5,16,3,29
334,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0.250,1,2.69,5,5,5,14
335,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0.600,1,2.49,4,7,4,20
338,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,0.400,1,2.64,3,12,9,43
339,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0.799,1,1.39,5,7,3,18
340,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0.750,2,4.39,1,23,5,40
345,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0.600,1,9.39,1,12,8,2
348,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0.350,1,1.89,16,6,4,22
349,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.750,1,2.29,8,6,4,22
350,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.000,2,.69,1,1,6,38
351,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1.000,1,10.99,9,12,5,18
352,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.200,1,2.35,1,7,5,48
353,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.000,3,2.99,8,2,7,41
356,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0.750,1,1.29,9,21,2,18
361,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.150,1,1.19,5,7,3,18
362,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.600,1,2.84,1,7,4,28
363,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.350,1,1.89,16,6,4,22
365,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.200,1,.84,7,7,4,20
369,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0.170,1,1.99,7,25,4,13
370,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,2.000,2,9.99,1,23,3,25
371,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,0.450,1,3.99,4,24,6,6
373,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0.400,1,.63,1,20,4,2
375,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0.250,1,2.59,1,24,7,6
376,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.801,1,2.29,5,7,2,28
379,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,0.400,1,6.99,3,12,5,30
380,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1.000,2,.76,3,1,5,35
382,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0.500,2,2.64,15,23,2,25
384,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.750,1,2.29,1,17,4,30
386,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0.270,1,1.59,7,6,3,7
387,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.500,1,1.99,7,4,4,5
389,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.500,1,1.35,7,4,4,37
390,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0.410,1,1.09,5,8,3,17
391,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.000,2,.72,13,1,4,36
393,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,0.120,1,1.59,7,13,5,8
394,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0.500,1,1.55,15,4,5,34
395,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.250,1,.99,13,24,6,19
396,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,0.150,1,2.09,3,2,4,49
398,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.500,1,.65,5,4,2,21
399,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.300,1,2.19,1,7,5,54
402,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.500,1,.65,15,4,2,18
403,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.500,1,1.35,7,4,4,37
404,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0.780,1,.78,1,16,7,2
405,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.276,1,2.79,7,7,6,54
407,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0.500,1,2.99,1,25,4,13
408,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0.500,1,1.49,13,24,5,19
409,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.801,1,1.49,1,7,5,2
411,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.350,1,2.05,3,2,4,39
413,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1.000,2,.48,13,1,4,18
414,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.500,1,1.04,1,4,2,11
415,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0.400,1,3.49,8,2,4,12
416,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,0.540,1,.55,7,8,4,43
418,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,1.000,1,17.48,3,12,6,30
422,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1.000,1,10.99,9,12,7,18
423,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.500,1,2.29,15,4,3,5
424,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0.500,1,1.69,1,4,4,34
426,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1.000,2,1.35,13,1,7,38
429,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0.750,2,4.29,7,23,5,40
430,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0.500,1,1.49,1,24,4,2
431,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1.000,2,.56,3,1,4,27
433,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.800,1,2.09,7,7,3,20
434,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.000,1,9.79,8,2,5,33
436,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0.225,1,.69,16,6,3,18
438,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0.500,2,2.64,15,23,2,25
440,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1.000,1,1.95,1,24,3,2
442,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1.000,2,.56,6,1,5,27
446,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0.540,1,.55,7,8,4,43
447,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.500,1,1.36,1,4,2,37
448,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0.260,1,.65,5,9,4,18
449,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.000,1,6.49,4,2,4,1
455,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,2,0.500,1,1.99,15,4,4,47
456,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.300,1,1.99,1,7,3,28
458,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.500,1,1.36,1,4,3,34
460,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.500,1,.69,7,4,5,43
461,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0.500,1,1.79,1,4,5,10
463,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.000,2,.56,3,1,4,27
464,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.500,1,1.35,15,4,2,37
466,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1.000,2,.83,13,1,5,50
467,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0.250,1,2.99,1,25,6,13
468,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.200,1,1.09,1,7,3,37
