i,y,d1,d2,d3,d4,d5,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,x1,x2,x3,x4,x5,x6,x7,x8,x9
56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,1.000,2,1.19,3,1,6,49
57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0.820,1,.79,1,8,4,2
61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.780,1,.78,1,16,7,2
62,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0.500,2,3.29,1,24,5,6
63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0.450,2,2.59,1,9,5,51
64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.570,1,3.29,1,6,3,20
69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0.450,1,3.19,5,24,6,44
70,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1.000,1,17.49,9,12,5,30
71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1.000,1,4.99,8,2,6,2
72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.820,1,.79,1,8,4,2
74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0.225,1,.75,7,6,4,43
76,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.500,1,1.72,1,4,3,5
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.801,1,2.29,1,7,4,28
78,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0.780,1,.87,5,16,2,53
82,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0.750,2,4.49,7,23,3,25
83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.225,1,1.19,7,6,4,22
86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.500,1,1.35,7,4,3,34
88,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0.500,1,2.09,1,4,4,5
90,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.000,1,.75,1,3,5,3
92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0.420,1,.65,7,9,5,43
93,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0.500,1,1.09,15,4,3,34
98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.000,2,.48,1,1,6,3
100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1.370,1,7.55,8,2,4,41
101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.200,1,1.04,3,2,4,39
103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0.500,1,.75,7,4,4,43
110,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,6,1,0.225,1,.79,8,6,8,2
111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1.000,2,1.69,13,1,6,36
112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.450,1,2.99,13,24,2,6
113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.500,1,1.19,1,4,4,10
114,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0.400,1,3.09,1,7,5,28
116,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,0.540,1,.55,7,9,6,43
118,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0.695,1,1.86,1,11,4,
120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.150,1,1.39,8,2,4,12
123,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,3,0.750,2,4.49,7,23,3,25
126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.325,1,2.99,8,2,4,33
127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0.240,1,2.29,5,6,4,20
129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0.500,1,1.39,15,4,2,10
131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0.450,1,4.49,1,24,7,6
133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.500,1,1.99,7,4,3,26
134,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0.150,1,2.09,1,2,6,49
135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.150,1,1.49,8,2,3,12
138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.000,1,1.19,1,3,5,11
140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.090,1,.75,7,6,4,22
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.801,1,2.29,5,7,2,28
143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.400,1,.69,1,21,3,2
144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.500,1,.99,1,4,5,2
145,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0.100,1,1.09,8,6,9,2
151,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,4,0.120,1,1.59,5,13,3,46
152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0.600,1,3.25,1,12,9,3
153,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0.750,2,4.39,1,23,6,40
156,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0.250,1,3.99,1,24,6,6
158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.000,2,.67,6,1,7,43
159,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1.000,1,1.39,7,3,3,15
160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0.600,1,3.89,1,12,7,2
163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0.500,1,1.69,15,4,3,37
164,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.150,1,1.69,8,2,6,41
167,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.500,1,1.75,1,4,5,37
168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0.450,1,2.79,1,8,6,51
169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1.000,2,.83,6,1,7,50
171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.500,1,1.19,1,4,4,10
172,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0.450,1,3.99,1,24,7,6
175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1.000,1,1.39,7,3,3,15
176,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,1.000,1,17.48,3,12,6,30
177,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0.750,2,4.59,15,23,3,40
179,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.500,1,.85,1,4,6,2
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.500,1,1.25,1,4,3,11
183,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1.000,2,1.29,13,1,6,36
185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.500,1,1.59,1,4,5,32
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,3,1.000,1,7.69,7,25,6,13
189,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1.000,2,1.35,1,1,8,38
190,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0.400,1,3.49,9,12,6,18
193,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1.000,1,5.89,4,2,7,43
198,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.500,1,1.59,1,4,4,10
199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.500,1,2.59,15,4,3,26
201,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,0.750,2,4.59,5,23,2,40
202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,3,0.150,1,2.09,1,2,6,49
203,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1.000,1,1.39,1,18,2,2
204,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.500,1,1.38,1,4,5,34
206,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,0.695,1,1.86,1,11,4,
208,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0.500,1,.75,15,4,2,18
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0.400,1,1.89,4,25,1,24
210,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.225,1,.79,8,6,8,2
213,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0.845,1,1.69,5,9,4,17
214,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.500,1,1.25,1,4,3,11
215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1.000,2,1.35,1,1,8,38
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0.800,1,3.19,1,25,2,24
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1.000,1,1.95,13,24,2,18
218,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.500,1,2.09,7,4,4,5
220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0.350,1,3.09,3,2,4,49
225,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,0.500,1,1,5,8,2,21
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.801,1,1.89,1,7,9,54
229,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.250,1,2.59,1,24,6,6
230,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,1,0.120,1,.8,1,13,5,2
234,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1.000,1,17.49,1,12,3,30
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0.500,1,1.59,13,24,6,18
237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1.000,2,.79,3,1,6,36
238,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0.500,1,1.39,1,4,3,37
242,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1.000,1,1.98,8,11,6,2
243,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0.400,1,6.99,3,12,7,42
244,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0.120,1,.69,8,6,4,2
245,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0.500,1,6.39,3,12,7,42
247,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0.385,1,4.39,1,13,4,46
249,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0.225,1,.89,16,6,3,19
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.200,1,.74,1,7,3,20
253,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1.000,1,1.16,5,3,2,11
255,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.500,1,1.14,15,4,4,34
257,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0.400,1,1.79,9,19,2,9
258,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0.780,1,.89,5,16,2,18
259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.000,1,1.19,1,22,4,2
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.750,1,.89,9,22,3,18
261,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0.500,1,1.59,15,4,3,10
262,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,0.400,1,4.09,4,2,5,33
263,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.150,1,3.54,5,6,5,48
264,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0.500,2,4.79,1,23,5,40
267,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,0.250,1,1.79,4,24,6,44
268,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3.000,2,14.65,1,23,3,25
269,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.500,1,1.09,15,4,4,34
270,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.400,1,3.99,8,2,5,49
273,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0.820,1,.79,1,8,4,2
274,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0.845,1,1.69,5,8,3,17
275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0.225,1,.79,7,6,6,43
277,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0.270,1,1.59,7,6,3,7
278,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.500,1,.69,15,4,3,18
280,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.750,2,3.99,1,23,5,40
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.000,1,6.59,13,24,3,44
283,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1.000,2,.56,13,1,5,18
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.300,1,1.47,4,7,5,21
291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.500,1,1.99,7,4,3,26
293,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0.400,1,5.99,1,12,5,42
294,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1.000,1,7.59,8,2,5,41
297,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1.000,2,.69,1,1,5,36
299,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0.250,1,1.79,13,24,2,44
303,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0.100,1,2.79,1,6,8,23
304,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0.540,1,1.39,1,6,5,2
305,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0.400,1,.49,1,19,4,2
309,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.150,1,1.24,8,2,6,2
312,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0.225,1,.75,7,6,4,43
314,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.500,1,2.69,8,2,3,18
317,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0.750,2,4.49,15,23,2,25
319,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0.820,1,.89,7,8,4,43
321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0.400,1,4.09,4,2,5,33
322,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0.750,1,2.29,8,6,5,22
326,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.200,1,1.09,1,7,3,37
328,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0.798,1,.99,1,7,6,2
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.450,1,3.19,13,24,3,44
332,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.801,1,2.29,1,7,3,28
336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0.300,1,1.69,8,6,5,22
337,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0.700,1,8.99,1,12,5,
341,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.275,1,1.43,3,2,4,39
342,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,1.000,1,10.99,9,12,5,18
343,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0.560,1,1.59,1,9,2,24
344,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1.000,1,6.59,4,24,3,44
346,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0.750,2,3.99,1,23,5,40
347,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0.400,1,6.99,2,12,3,30
354,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.250,1,4.84,1,6,4,48
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0.801,1,1.49,1,7,5,2
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0.400,1,2.79,1,25,6,14
358,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0.100,1,1.44,6,6,3,7
359,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0.540,1,.55,1,9,6,3
360,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0.200,1,2.19,4,2,5,33
364,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1.000,2,.75,13,1,6,38
366,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0.240,1,2.05,16,6,4,4
367,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.500,1,1.35,7,4,4,37
368,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.500,1,1.69,15,4,3,37
372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.500,1,1.19,15,4,3,18
374,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0.750,2,4.39,15,23,3,40
377,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0.410,1,.99,7,8,3,24
378,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,3,0.410,1,1.09,7,9,6,16
381,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.540,1,1.4,1,6,4,2
383,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0.120,1,1.29,1,14,6,8
385,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0.375,1,2.55,12,5,3,31
388,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1.000,1,16.29,9,12,6,42
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.200,1,.39,7,7,4,43
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.799,1,1.19,15,7,2,18
400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0.450,1,3.69,4,24,9,44
401,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,1.000,1,11.49,9,12,6,42
406,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0.750,2,4.39,15,23,3,40
410,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0.410,1,1.09,5,8,3,17
412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.400,1,1.58,1,7,6,2
417,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0.600,1,2.89,1,12,8,3
419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.200,1,2.4,1,7,5,48
420,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0.100,1,1.44,6,6,3,7
421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.500,1,1.29,8,17,3,
425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1.000,2,.83,6,1,7,50
427,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0.450,1,3.99,4,24,6,6
428,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0.500,1,6.39,3,12,7,42
432,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0.799,1,1.19,15,7,2,18
435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0.500,1,2.99,1,25,4,13
437,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.200,1,2.4,1,7,5,48
439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0.500,1,1.39,1,4,4,37
441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0.500,1,2.99,1,25,7,13
443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.250,1,2.59,13,24,6,6
444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0.500,1,1.79,15,4,2,47
445,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0.200,1,2.09,4,2,4,36
450,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0.500,1,2.69,15,5,4,37
451,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0.420,1,.69,5,10,2,18
452,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.150,1,1.59,4,2,5,49
453,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0.800,1,5.49,3,2,3,12
454,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.200,1,1.69,3,2,3,1
457,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1.000,2,1.69,13,1,6,36
459,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.750,1,2.39,7,6,6,22
